Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
9,8
9,10
9,11
9,12
9,13
9,14
9,16
9,18
9,19
9,24
9,25
9,26
9,31
9,32
9,33
9,34
9,37
9,38
9,39
9,40
9,42
9,43
9,44
9,45
9,46
9,48
9,50
9,51
9,52
9,53
9,54
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,18
11,21
11,23
11,24
11,25
11,26
11,28
11,29
11,31
11,34
11,35
11,37
11,42
11,43
11,46
11,47
11,50
11,51
11,52
11,53
11,54
11,55
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,55
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,17
13,18
13,23
13,24
13,29
13,31
13,34
13,35
13,37
13,43
13,49
13,50
13,51
13,53
13,54
13,55
14,8
14,9
14,10
14,11
14,12
14,13
14,17
14,18
14,19
14,21
14,24
14,25
14,26
14,27
14,29
14,33
14,35
14,36
14,37
14,38
14,39
14,40
14,42
14,43
14,44
14,45
14,47
14,48
14,49
14,50
14,51
14,53
14,54
14,55
15,8
15,10
15,11
15,12
15,13
15,17
15,18
15,19
15,23
15,24
15,25
15,26
15,27
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,38
15,39
15,42
15,43
15,44
15,46
15,51
15,53
16,8
16,9
16,10
16,11
16,12
16,17
16,18
16,19
16,21
16,24
16,25
16,26
16,27
16,29
16,30
16,33
16,35
16,39
16,40
16,41
16,42
16,43
16,47
16,49
16,50
16,51
16,55
17,8
17,10
17,12
17,13
17,14
17,15
17,16
17,24
17,26
17,28
17,29
17,31
17,32
17,33
17,34
17,37
17,38
17,39
17,40
17,41
17,42
17,44
17,46
17,47
17,48
17,50
17,52
17,54
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,27
18,28
18,29
18,33
18,34
18,35
18,36
18,37
18,38
18,39
18,41
18,42
18,43
18,45
18,47
18,49
18,50
18,55
19,8
19,9
19,10
19,12
19,14
19,15
19,16
19,18
19,23
19,24
19,25
19,29
19,31
19,37
19,46
19,47
19,50
19,53
19,55
20,8
20,10
20,12
20,18
20,22
20,23
20,24
20,26
20,28
20,29
20,30
20,31
20,34
20,35
20,36
20,37
20,39
20,40
20,41
20,42
20,43
20,44
20,45
20,46
20,47
20,48
20,49
20,52
20,54
20,55
21,8
21,10
21,11
21,12
21,14
21,16
21,18
21,24
21,26
21,28
21,34
21,42
21,47
21,49
21,50
21,51
21,53
21,55
22,8
22,10
22,12
22,18
22,20
22,24
22,26
22,27
22,29
22,37
22,38
22,39
22,40
22,41
22,42
22,43
22,44
22,45
22,49
22,50
22,51
22,52
22,55
23,8
23,10
23,11
23,12
23,13
23,15
23,18
23,19
23,20
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,36
23,38
23,39
23,42
23,43
23,46
24,8
24,9
24,10
24,11
24,12
